id;name;age;address;email;tel;role
1;Cambodia Frozen Concrete;47;Berkshire Senior;"x@7.bRuqP";"046000 7082";RESTAURATEUR
2;set;86;firewall eyeballs;"kFi@e.NESMo";"0387 2552 10";ARTISANT
3;Angola connecting;20;navigate integrate Shoes;"5xMp@0.UtkXZ";"09 1020 65 21";RESTAURATEUR
4;Yemeni Product;72;Unbranded Program;"V@W.uYq";"04 8760 82 16";CLIENT
5;ROI grid-enabled Open-source;47;Chair Soap Account;"txLnOH@8.wU";"01 5488 1137";RESTAURATEUR
6;Table schemas haptic;55;Ergonomic Tennessee panel;"Z@W.jooade";"09533675 50";RESTAURATEUR
7;array Table adapter;85;Administrator pixel;"t@y.xqg";"017230 94 33";COURSIER
8;cross-platform Bike Research;27;Hills;"AnlnSh@v.tEd";"06 35 51 47 58";DG
9;tan national;96;Idaho;"_dJM07@N.eyidCt";"02 60 5535 30";CLIENT
10;out-of-the-box Director;96;responsive Gloves transmitting;"mVJT@A.gljzqV";"03 541539 68";COURSIER
